"MRN_NO","FSH_KIND","BUOY_KND_NM","SOF_NM","FW_YR","FW_MNTH","FSH_HL_MNTH"
"97","연안자망어업                                          ","자망                                                      ","물메기                                                   ","2019    ","12      ","Y2020-231           "
"97","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"97","연안자망어업                                          ","자망                                                      ","쏨벵이                                                   ","2019    ","12      ","Y2020-231           "
"97","연안자망어업                                          ","자망                                                      ","민어                                                      ","2019    ","12      ","Y2020-225           "
"97","연안자망어업                                          ","자망                                                      ","전어                                                      ","2019    ","12      ","Y2020-229           "
"97","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"97","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"97","연안자망어업                                          ","자망                                                      ","참돔                                                      ","2019    ","12      ","Y2020-242           "
"97","연안자망어업                                          ","자망                                                      ","참돔                                                      ","2019    ","12      ","Y2020-242           "
"97","연안통발어업                                          ","문어통발                                                ","돌게                                                      ","2019    ","12      ","Y2020-232           "
"97","연안자망어업                                          ","자망                                                      ","숭어                                                      ","2019    ","12      ","Y2020-228           "
"97","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"97","연안자망어업                                          ","자망                                                      ","전어                                                      ","2019    ","12      ","Y2020-229           "
"97","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"97","연안통발어업                                          ","문어통발                                                ","문어                                                      ","2019    ","12      ","Y2020-237           "
"97","연안통발어업                                          ","장어통발                                                ","민꽃게                                                   ","2019    ","12      ","Y2020-232           "
"97","연안자망어업                                          ","자망                                                      ","민어                                                      ","2019    ","12      ","Y2020-225           "
"97","연안자망어업                                          ","전어선자망                                             ","전어                                                      ","2019    ","12      ","Y2020-229           "
"97","연안통발어업                                          ","장어통발                                                ","장어                                                      ","2019    ","12      ","Y2020-229           "
"97","연안복합어업                                          ","자망                                                      ","민어                                                      ","2019    ","12      ","Y2020-242           "
"208","근해안강망어업                                       ","근해안강망                                             ","갈치                                                      ","2020    ","10      ","서해20-45         "
"209","근해안강망어업                                       ","근해안강망                                             ","갈치                                                      ","2020    ","10      ","서해20-45         "
"210","연안 유자망","자망","민어","2022","1",""
"211","연안 유자망","자망","민어","2022","1",""
"203","연안 유자망","자망","민어","2022","1",""
"210","연안 유자망","자망","잡어","2022","1",""
"211","연안 유자망","자망","잡어","2022","1",""
"203","연안 유자망","자망","잡어","2022","1",""
"210","연안 유자망","자망","민어","2022","2",""
"211","연안 유자망","자망","민어","2022","2",""
"203","연안 유자망","자망","민어","2022","2",""
"210","연안 유자망","자망","잡어","2022","2",""
"211","연안 유자망","자망","잡어","2022","2",""
"203","연안 유자망","자망","잡어","2022","2",""
"210","연안 유자망","자망","민어","2022","3",""
"211","연안 유자망","자망","민어","2022","3",""
"203","연안 유자망","자망","민어","2022","3",""
"210","연안 유자망","자망","잡어","2022","3",""
"211","연안 유자망","자망","잡어","2022","3",""
"203","연안 유자망","자망","잡어","2022","3",""
"201","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"202","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"211","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-03"
"201","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"202","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"211","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"212","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"221","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"222","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"223","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-03"
"201","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"202","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"224","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-04"
"201","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"202","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"212","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"220","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"221","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"222","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"223","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"224","근해안강망어업                       ","근해안강망                         ","병어","2022","1","서해22-04"
"202","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-05"
"212","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-05"
"220","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-05"
"222","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-05"
"223","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-05"
"224","근해안강망어업                       ","근해안강망                         ","새우","2022","1","서해22-05"
"202","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-05"
"212","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-05"
"220","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-05"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-05"
"223","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-05"
"224","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-05"
"202","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-06"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-06"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-06"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-06"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-06"
"202","근해안강망어업                       ","근해안강망                         ","참돔","2022","1","서해22-06"
"212","근해안강망어업                       ","근해안강망                         ","참돔","2022","1","서해22-06"
"221","근해안강망어업                       ","근해안강망                         ","참돔","2022","1","서해22-06"
"222","근해안강망어업                       ","근해안강망                         ","참돔","2022","1","서해22-06"
"223","근해안강망어업                       ","근해안강망                         ","참돔","2022","1","서해22-06"
"201","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"202","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"224","근해안강망어업                       ","근해안강망                         ","갈치","2022","1","서해22-07"
"201","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"202","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"212","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"220","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"221","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"223","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"224","근해안강망어업                       ","근해안강망                         ","아귀","2022","1","서해22-07"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-08"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-08"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-08"
"210","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-08"
"220","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-08"
"222","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-08"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-09"
"222","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-09"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-10"
"222","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-10"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-11"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-11"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","2","서해22-11"
"212","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-11"
"221","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-11"
"222","근해안강망어업                       ","근해안강망                         ","병어","2022","2","서해22-11"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"210","근해안강망어업                       ","근해안강망                         ","병어","2022","3","서해22-12"
"220","근해안강망어업                       ","근해안강망                         ","병어","2022","3","서해22-12"
"221","근해안강망어업                       ","근해안강망                         ","병어","2022","3","서해22-12"
"222","근해안강망어업                       ","근해안강망                         ","병어","2022","3","서해22-12"
"223","근해안강망어업                       ","근해안강망                         ","병어","2022","3","서해22-12"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"211","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"219","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-12"
"210","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"211","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"212","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"219","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"220","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"221","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"223","근해안강망어업                       ","근해안강망                         ","아귀","2022","3","서해22-13"
"210","근해안강망어업                       ","근해안강망                         ","새우","2022","3","서해22-14"
"221","근해안강망어업                       ","근해안강망                         ","새우","2022","3","서해22-14"
"222","근해안강망어업                       ","근해안강망                         ","새우","2022","3","서해22-14"
"210","근해안강망어업                       ","근해안강망                         ","반지","2022","3","서해22-14"
"221","근해안강망어업                       ","근해안강망                         ","반지","2022","3","서해22-14"
"222","근해안강망어업                       ","근해안강망                         ","반지","2022","3","서해22-14"
"202","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"212","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"219","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"224","근해안강망어업                       ","근해안강망                         ","갈치","2022","3","서해22-15"
"202","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"212","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"219","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"220","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"221","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"222","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"223","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"224","근해안강망어업                       ","근해안강망                         ","참돔","2022","3","서해22-15"
"201","근해안강망어업                       ","근해안강망                         ","새우","2021","1","서해21-07"
"202","근해안강망어업                       ","근해안강망                         ","새우","2021","1","서해21-07"
"204","근해안강망어업                       ","근해안강망                         ","새우","2021","1","서해21-07"
"211","근해안강망어업                       ","근해안강망                         ","새우","2021","1","서해21-07"
"213","근해안강망어업                       ","근해안강망                         ","새우","2021","1","서해21-07"
"223","근해안강망어업                       ","근해안강망                         ","새우","2021","1","서해21-07"
"201","근해안강망어업                       ","근해안강망                         ","복어","2021","1","서해21-07"
"202","근해안강망어업                       ","근해안강망                         ","복어","2021","1","서해21-07"
"204","근해안강망어업                       ","근해안강망                         ","복어","2021","1","서해21-07"
"211","근해안강망어업                       ","근해안강망                         ","복어","2021","1","서해21-07"
"213","근해안강망어업                       ","근해안강망                         ","복어","2021","1","서해21-07"
"223","근해안강망어업                       ","근해안강망                         ","복어","2021","1","서해21-07"
"201","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"202","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"203","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"204","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"211","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"212","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"221","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"222","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"223","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-08"
"201","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"202","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"203","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"204","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"211","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"212","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"221","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"223","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-08"
"201","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-09"
"220","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-09"
"221","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-09"
"222","근해안강망어업                       ","근해안강망                         ","새우","2021","2","서해21-09"
"201","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-09"
"220","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-09"
"221","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-09"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2021","2","서해21-09"
"201","근해안강망어업                       ","근해안강망                         ","참홍어","2021","3","서해21-10"
"202","근해안강망어업                       ","근해안강망                         ","참홍어","2021","3","서해21-10"
"222","근해안강망어업                       ","근해안강망                         ","참홍어","2021","3","서해21-10"
"201","근해안강망어업                       ","근해안강망                         ","병어","2021","3","서해21-10"
"202","근해안강망어업                       ","근해안강망                         ","병어","2021","3","서해21-10"
"222","근해안강망어업                       ","근해안강망                         ","병어","2021","3","서해21-10"
"204","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-11"
"210","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-11"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-11"
"204","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-11"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-11"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-11"
"201","근해안강망어업                       ","근해안강망                         ","상어류","2021","3","서해21-12"
"202","근해안강망어업                       ","근해안강망                         ","상어류","2021","3","서해21-12"
"204","근해안강망어업                       ","근해안강망                         ","상어류","2021","3","서해21-12"
"209","근해안강망어업                       ","근해안강망                         ","상어류","2021","3","서해21-12"
"210","근해안강망어업                       ","근해안강망                         ","상어류","2021","3","서해21-12"
"222","근해안강망어업                       ","근해안강망                         ","상어류","2021","3","서해21-12"
"201","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-12"
"202","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-12"
"204","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-12"
"209","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-12"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-12"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-12"
"210","근해안강망어업                       ","근해안강망                         ","두족류","2021","3","서해21-13"
"219","근해안강망어업                       ","근해안강망                         ","두족류","2021","3","서해21-13"
"220","근해안강망어업                       ","근해안강망                         ","두족류","2021","3","서해21-13"
"222","근해안강망어업                       ","근해안강망                         ","두족류","2021","3","서해21-13"
"223","근해안강망어업                       ","근해안강망                         ","두족류","2021","3","서해21-13"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-13"
"219","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-13"
"220","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-13"
"222","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-13"
"223","근해안강망어업                       ","근해안강망                         ","갈치","2021","3","서해21-13"
"210","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"211","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"212","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"220","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"221","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"223","근해안강망어업                       ","근해안강망                         ","아귀","2021","3","서해21-14"
"210","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"211","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"212","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"220","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"221","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"222","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"223","근해안강망어업                       ","근해안강망                         ","참돔","2021","3","서해21-14"
"210","근해안강망어업                       ","근해안강망                         ","아귀","2021","4","서해21-15"
"221","근해안강망어업                       ","근해안강망                         ","아귀","2021","4","서해21-15"
"222","근해안강망어업                       ","근해안강망                         ","아귀","2021","4","서해21-15"
"223","근해안강망어업                       ","근해안강망                         ","아귀","2021","4","서해21-15"
"210","근해안강망어업                       ","근해안강망                         ","갈치","2021","4","서해21-15"
"221","근해안강망어업                       ","근해안강망                         ","갈치","2021","4","서해21-15"
